from,to,conversion_factor
2016,1979,1.0156897575492994
2017,1979,1.0241149869140294
1962,1980,1.1373631275845262
1963,1980,1.1373631275845262
1964,1980,1.1373631275845262
1965,1980,1.1373631275845262
1966,1980,1.1373631275845262
1967,1980,1.1373631275845262
1968,1980,1.1373631275845262
1969,1980,1.1373631275845262
1970,1980,1.1373631275845262
1971,1980,1.1373631275845262
1972,1980,1.1373631275845262
1973,1980,1.1373631275845262
1974,1980,1.1373631275845262
1975,1980,1.1373631275845262
1976,1980,1.1373631275845262
1977,1980,1.1373631275845262
1978,1980,1.1373631275845262
1979,1980,1.1373631275845262
1980,1980,1
1981,1980,1.1284491271429455
1982,1980,1.1037922131698876
1983,1980,1.0937208721296852
1984,1980,1.0903986972855368
1985,1980,1.0867647174527224
1986,1980,1.0649634433157162
1987,1980,1.0697721238464266
1988,1980,1.099683825125001
1989,1980,1.146370358673259
1990,1980,1.2328597005478954
1991,1980,1.1103742379883184
1992,1980,1.1096042804578876
1993,1980,1.2079032999295152
1994,1980,1.2389418272963342
1995,1980,1.0915131196761574
1996,1980,1.0650805277611939
1997,1980,1.0472283034294643
1998,1980,1.043937957390063
1999,1980,1.0341815277985629
2000,1980,1.0368453746401993
2001,1980,1.0379265443088241
2002,1980,1.0295377225964293
2003,1980,1.0310040888613647
2004,1980,1.0317398714758126
2005,1980,1.03634617017485
2006,1980,1.037798037663388
2007,1980,1.0407167690394892
2008,1980,1.0694505280081967
2009,1980,1.0232687670545302
2010,1980,1.0299212821626715
2011,1980,1.0449698305485993
2012,1980,1.0348341045519274
2013,1980,1.027433551887506
2014,1980,1.0228164387639684
2015,1980,1.015080896769836
2016,1980,1.0156897575492994
2017,1980,1.0241149869140294
1962,1981,1.1284491271429455
1963,1981,1.1284491271429455
1964,1981,1.1284491271429455
1965,1981,1.1284491271429455
1966,1981,1.1284491271429455
1967,1981,1.1284491271429455
1968,1981,1.1284491271429455
1969,1981,1.1284491271429455
1970,1981,1.1284491271429455
1971,1981,1.1284491271429455
1972,1981,1.1284491271429455
1973,1981,1.1284491271429455
1974,1981,1.1284491271429455
1975,1981,1.1284491271429455
1976,1981,1.1284491271429455
1977,1981,1.1284491271429455
1978,1981,1.1284491271429455
1979,1981,1.1284491271429455
1980,1981,1.1284491271429455
1981,1981,1
1982,1981,1.1037922131698876
1983,1981,1.0937208721296852
1984,1981,1.0903986972855368
1985,1981,1.0867647174527224
1986,1981,1.0649634433157162
1987,1981,1.0697721238464266
1988,1981,1.099683825125001
1989,1981,1.146370358673259
1990,1981,1.2328597005478954
1991,1981,1.1103742379883184
1992,1981,1.1096042804578876
1993,1981,1.2079032999295152
1994,1981,1.2389418272963342
1995,1981,1.0915131196761574
1996,1981,1.0650805277611939
